ESTADO ;CIDADE;Letra;;
Bahia;Pilão Arcado;P;;
Bahia;Pindaí;P;;
Bahia;Pindobaçu;P;;
Bahia;Pintadas;P;;
Bahia;Piraí do Norte;P;;
Bahia;Piripá;P;;
Bahia;Piritiba;P;;
Bahia;Planaltino;P;;
Bahia;Planalto;P;;
Bahia;Poções;P;;
Bahia;Pojuca;P;;
Bahia;Ponto Novo;P;;
Bahia;Porto Seguro;P;;
Bahia;Potiraguá;P;;
Bahia;Prado;P;;
Bahia;Presidente Dutra;P;;
Bahia;Presidente Jânio Quadros;P;;
Bahia;Presidente Tancredo Neves;P;;
Bahia;Queimadas;Q;;
Bahia;Quijingue;Q;;
Bahia;Quixabeira;Q;;
Bahia;Rafael Jambeiro;R;;
Bahia;Remanso;R;;
Bahia;Retirolândia;R;;
Bahia;Riachão das Neves;R;;
Bahia;Riachão do Jacuípe;R;;
Bahia;Riacho de Santana;R;;
Bahia;Ribeira do Amparo;R;;
Bahia;Ribeira do Pombal;R;;
Bahia;Ribeirão do Largo;R;;
Bahia;Rio de Contas;R;;
Bahia;Rio do Antônio;R;;
Bahia;Rio do Pires;R;;
Bahia;Rio Real;R;;
Bahia;Rodelas;R;;
Bahia;Ruy Barbosa;R;;
Bahia;Salinas da Margarida;S;;
Bahia;Salvador;S;;
Bahia;Santa Bárbara;S;;
Bahia;Santa Brígida;S;;
Bahia;Santa Cruz Cabrália;S;;
Bahia;Santa Cruz da Vitória;S;;
Bahia;Santa Inês;S;;
Bahia;Santa Luzia;S;;
Bahia;Santa Maria da Vitória;S;;
Bahia;Santa Rita de Cássia;S;;
Bahia;Santa Teresinha;S;;
Bahia;Santaluz;S;;
Bahia;Santana;S;;
Bahia;Santanópolis;S;;
Bahia;Santo Amaro;S;;
Bahia;Santo Antônio de Jesus;S;;
Bahia;Santo Estêvão;S;;
Bahia;São Desidério;S;;
Bahia;São Domingos;S;;
Bahia;São Felipe;S;;
Bahia;São Félix;S;;
Bahia;São Félix do Coribe;S;;
Bahia;São Francisco do Conde;S;;
Bahia;São Gabriel;S;;
Bahia;São Gonçalo dos Campos;S;;
Bahia;São José da Vitória;S;;
Bahia;São José do Jacuípe;S;;
Bahia;São Miguel das Matas;S;;
Bahia;São Sebastião do Passé;S;;
Bahia;Sapeaçu;S;;
Bahia;Sátiro Dias;S;;
Bahia;Saubara;S;;
Bahia;Saúde;S;;
Bahia;Seabra;S;;
Bahia;Sebastião Laranjeiras;S;;
Bahia;Senhor do Bonfim;S;;
Bahia;Sento Sé;S;;
Bahia;Serra do Ramalho;S;;
Bahia;Serra Dourada;S;;
Bahia;Serra Preta;S;;
Bahia;Serrinha;S;;
Bahia;Serrolândia;S;;
Bahia;Simões Filho;S;;
Bahia;Sítio do Mato;S;;
Bahia;Sítio do Quinto;S;;
Bahia;Sobradinho;S;;
Bahia;Souto Soares;S;;
Bahia;Tabocas do Brejo Velho;T;;
Bahia;Tanhaçu;T;;
Bahia;Tanque Novo;T;;
Bahia;Tanquinho;T;;
Bahia;Taperoá;T;;
Bahia;Tapiramutá;T;;
Bahia;Teixeira de Freitas;T;;
Bahia;Teodoro Sampaio;T;;
Bahia;Teofilândia;T;;
Bahia;Teolândia;T;;
Bahia;Terra Nova;T;;
Bahia;Tremedal;T;;
Bahia;Tucano;T;;
Bahia;Uauá;U;;
Bahia;Ubaíra;U;;
Bahia;Ubaitaba;U;;
Bahia;Ubatã;U;;
Bahia;Uibaí;U;;
Bahia;Umburanas;U;;
Bahia;Una;U;;
Bahia;Urandi;U;;
Bahia;Uruçuca;U;;
Bahia;Utinga;U;;
Bahia;Valença;V;;
Bahia;Valente;V;;
Bahia;Várzea da Roça;V;;
Bahia;Várzea do Poço;V;;
Bahia;Várzea Nova;V;;
Bahia;Varzedo;V;;
Bahia;Vera Cruz;V;;
Bahia;Vereda;V;;
Bahia;Vitória da Conquista;V;;
Bahia;Wagner;W;;
Bahia;Wanderley;W;;
Bahia;Wenceslau Guimarães;W;;
Bahia;Xique-Xique;X;;
Ceara;Abaiara;A;;
Ceara;Acarape;A;;
Ceara;Acaraú;A;;
Ceara;Acopiara;A;;
Ceara;Aiuaba;A;;
Ceara;Alcântaras;A;;
Ceara;Altaneira;A;;
Ceara;Alto Santo;A;;
Ceara;Amontada;A;;
Ceara;Antonina do Norte;A;;
Ceara;Apuiarés;A;;
Ceara;Aquiraz;A;;
Ceara;Aracati;A;;
Ceara;Aracoiaba;A;;
Ceara;Ararendá;A;;
Ceara;Araripe;A;;
Ceara;Aratuba;A;;
Ceara;Arneiroz;A;;
Ceara;Assaré;A;;
Ceara;Aurora;A;;
Ceara;Baixio;B;;
Ceara;Banabuiú;B;;
Ceara;Barbalha;B;;
Ceara;Barreira;B;;
Ceara;Barro;B;;
Ceara;Barroquinha;B;;
Ceara;Baturité;B;;
Ceara;Beberibe;B;;
Ceara;Bela Cruz;B;;
Ceara;Boa Viagem;B;;
Ceara;Brejo Santo;B;;
Ceara;Camocim;C;;
Ceara;Campos Sales;C;;
Ceara;Canindé;C;;
